,Stock,Date,Closing Price
0,TSLA,2020-08-10,284.754
1,TSLA,2020-08-11,278.457
2,TSLA,2020-08-12,315.758
3,TSLA,2020-08-13,339.0
4,TSLA,2020-08-14,333.741
5,TSLA,2020-08-17,370.324
6,TSLA,2020-08-18,396.173
7,TSLA,2020-08-19,388.1
8,TSLA,2020-08-20,412.03
9,TSLA,2020-08-21,411.474
10,TSLA,2020-08-24,403.38
11,TSLA,2020-08-25,414.27
12,TSLA,2020-08-26,450.978
13,TSLA,2020-08-27,448.65
14,TSLA,2020-08-28,453.95
15,TSLA,2020-08-31,517.42
16,TSLA,2020-09-01,476.02
17,TSLA,2020-09-02,468.32
18,TSLA,2020-09-03,414.0
19,TSLA,2020-09-04,426.14
20,TSLA,2020-09-08,338.6
21,TSLA,2020-09-09,371.78
22,TSLA,2020-09-10,385.2
23,TSLA,2020-09-11,373.73
24,TSLA,2020-09-14,429.25
25,TSLA,2020-09-15,457.78
26,TSLA,2020-09-16,458.37
27,TSLA,2020-09-17,440.23
28,TSLA,2020-09-18,461.66
29,TSLA,2020-09-21,456.97
30,TSLA,2020-09-22,437.53
31,TSLA,2020-09-23,394.33
32,TSLA,2020-09-24,388.98
33,TSLA,2020-09-25,426.87
34,TSLA,2020-09-28,430.9
35,TSLA,2020-09-29,432.38
36,TSLA,2020-09-30,440.68
37,TSLA,2020-10-01,462.29
38,TSLA,2020-10-02,425.4
39,TSLA,2020-10-05,434.89
40,TSLA,2020-10-06,416.03
41,TSLA,2020-10-07,433.8
42,TSLA,2020-10-08,432.89
43,TSLA,2020-10-09,438.0
44,TSLA,2020-10-12,448.4
45,TSLA,2020-10-13,453.65
46,TSLA,2020-10-14,471.3
47,TSLA,2020-10-15,468.99
48,TSLA,2020-10-16,442.72
49,TSLA,2020-10-19,452.24
50,TSLA,2020-10-20,440.69
51,TSLA,2020-10-21,441.16
52,TSLA,2020-10-22,439.43
53,TSLA,2020-10-23,441.65
54,TSLA,2020-10-26,421.87
55,TSLA,2020-10-27,430.75
56,TSLA,2020-10-28,407.54
57,TSLA,2020-10-29,428.32
58,TSLA,2020-10-30,398.96
59,TSLA,2020-11-02,416.2
60,TSLA,2020-11-03,428.6
61,TSLA,2020-11-04,428.1
62,TSLA,2020-11-05,456.51
63,TSLA,2020-11-06,431.47
64,TSLA,2020-11-09,437.7
65,TSLA,2020-11-10,421.48
66,TSLA,2020-11-11,427.61
67,TSLA,2020-11-12,431.95
68,TSLA,2020-11-13,423.2
69,TSLA,2020-11-16,409.36
70,TSLA,2020-11-17,452.26
71,TSLA,2020-11-18,502.81
72,TSLA,2020-11-19,516.0
73,TSLA,2020-11-20,497.27
74,TSLA,2020-11-23,536.51
75,TSLA,2020-11-24,575.19
76,TSLA,2020-11-25,594.0
77,TSLA,2020-11-27,596.94
78,TSLA,2020-11-30,585.6
79,TSLA,2020-12-01,600.74
80,TSLA,2020-12-02,584.31
81,TSLA,2020-12-03,595.83
82,TSLA,2020-12-04,600.94
83,TSLA,2020-12-07,645.35
84,TSLA,2020-12-08,671.54
85,TSLA,2020-12-09,605.55
86,TSLA,2020-12-10,656.4
87,TSLA,2020-12-11,628.34
88,TSLA,2020-12-14,659.04
89,TSLA,2020-12-15,651.8
90,TSLA,2020-12-16,643.85
91,TSLA,2020-12-17,659.8
92,TSLA,2020-12-18,707.0
93,TSLA,2020-12-21,676.06
94,TSLA,2020-12-22,664.08
95,TSLA,2020-12-23,662.03
96,TSLA,2020-12-24,670.17
97,TSLA,2020-12-28,684.17
98,TSLA,2020-12-29,690.71
99,TSLA,2020-12-30,697.02
100,TSLA,2020-12-31,706.33
101,TSLA,2021-01-04,752.91
102,TSLA,2021-01-05,735.6
103,TSLA,2021-01-06,790.05
104,TSLA,2021-01-07,835.6
105,TSLA,2021-01-08,900.22
106,TSLA,2021-01-11,820.7
107,TSLA,2021-01-12,865.33
108,TSLA,2021-01-13,886.08
109,TSLA,2021-01-14,878.0
110,TSLA,2021-01-15,827.77
111,TSLA,2021-01-19,879.75
112,TSLA,2021-01-20,870.96
113,TSLA,2021-01-21,860.87
114,TSLA,2021-01-22,871.23
115,TSLA,2021-01-25,916.6
116,TSLA,2021-01-26,903.32
117,TSLA,2021-01-27,904.75
118,TSLA,2021-01-28,835.96
119,TSLA,2021-01-29,831.9
120,TSLA,2021-02-01,846.74
121,TSLA,2021-02-02,902.9
122,TSLA,2021-02-03,863.85
123,TSLA,2021-02-04,870.89
124,TSLA,2021-02-05,855.44
125,TSLA,2021-02-08,902.8
126,TSLA,2021-02-09,887.93
127,TSLA,2021-02-10,816.31
128,TSLA,2021-02-11,816.3
129,TSLA,2021-02-12,849.36
130,TSLA,2021-02-16,814.32
131,TSLA,2021-02-17,801.21
132,TSLA,2021-02-18,794.09
133,TSLA,2021-02-19,799.2
134,TSLA,2021-02-22,747.7
135,TSLA,2021-02-23,719.52
136,TSLA,2021-02-24,778.86
137,TSLA,2021-02-25,714.12
138,TSLA,2021-02-26,692.5
139,TSLA,2021-03-01,731.66
140,TSLA,2021-03-02,687.5
141,TSLA,2021-03-03,662.3
142,TSLA,2021-03-04,644.07
143,TSLA,2021-03-05,608.96
144,TSLA,2021-03-08,580.0
145,TSLA,2021-03-09,680.65
146,TSLA,2021-03-10,699.53
147,TSLA,2021-03-11,710.6
148,TSLA,2021-03-12,727.66
149,TSLA,2021-03-15,734.35
150,TSLA,2021-03-16,693.72
151,TSLA,2021-03-17,729.98
152,TSLA,2021-03-18,672.56
153,TSLA,2021-03-19,680.81
154,TSLA,2021-03-22,671.0
155,TSLA,2021-03-23,680.95
156,TSLA,2021-03-24,653.37
157,TSLA,2021-03-25,654.09
158,TSLA,2021-03-26,638.47
159,TSLA,2021-03-29,637.11
160,TSLA,2021-03-30,640.27
161,TSLA,2021-03-31,694.15
162,TSLA,2021-04-01,674.27
163,TSLA,2021-04-05,698.43
164,TSLA,2021-04-06,720.66
165,TSLA,2021-04-07,687.42
166,TSLA,2021-04-08,712.2
167,TSLA,2021-04-09,691.22
168,TSLA,2021-04-12,725.87
169,TSLA,2021-04-13,783.45
170,TSLA,2021-04-14,735.65
171,TSLA,2021-04-15,763.56
172,TSLA,2021-04-16,752.08
173,TSLA,2021-04-19,731.85
174,TSLA,2021-04-20,728.0
175,TSLA,2021-04-21,760.35
176,TSLA,2021-04-22,754.26
177,TSLA,2021-04-23,747.9
178,TSLA,2021-04-26,765.9
179,TSLA,2021-04-27,708.22
180,TSLA,2021-04-28,703.2
181,TSLA,2021-04-29,693.0
182,TSLA,2021-04-30,725.41
183,TSLA,2021-05-03,701.9
184,TSLA,2021-05-04,683.3
185,TSLA,2021-05-05,703.74
186,TSLA,2021-05-06,684.44
187,TSLA,2021-05-07,681.12
188,TSLA,2021-05-10,654.72
189,TSLA,2021-05-11,631.1
190,TSLA,2021-05-12,613.75
191,TSLA,2021-05-13,584.09
192,TSLA,2021-05-14,599.7
193,TSLA,2021-05-17,591.83
194,TSLA,2021-05-18,590.42
195,TSLA,2021-05-19,565.79
196,TSLA,2021-05-20,589.39
197,TSLA,2021-05-21,581.17
198,TSLA,2021-05-24,630.51
199,TSLA,2021-05-25,622.37
200,TSLA,2021-05-26,629.01
201,TSLA,2021-05-27,645.65
202,TSLA,2021-05-28,644.18
203,TSLA,2021-06-01,650.5
204,TSLA,2021-06-02,613.68
205,TSLA,2021-06-03,587.22
206,TSLA,2021-06-04,600.85
207,TSLA,2021-06-07,608.41
208,TSLA,2021-06-08,625.57
209,TSLA,2021-06-09,617.03
210,TSLA,2021-06-10,615.03
211,TSLA,2021-06-11,616.14
212,TSLA,2021-06-14,643.89
213,TSLA,2021-06-15,623.61
214,TSLA,2021-06-16,610.56
215,TSLA,2021-06-17,636.8
216,TSLA,2021-06-18,624.14
217,TSLA,2021-06-21,641.84
218,TSLA,2021-06-22,641.48
219,TSLA,2021-06-23,685.49
220,TSLA,2021-06-24,706.16
221,TSLA,2021-06-25,680.22
222,TSLA,2021-06-28,690.28
223,TSLA,2021-06-29,688.36
224,TSLA,2021-06-30,686.3
225,TSLA,2021-07-01,683.66
226,TSLA,2021-07-02,697.9
227,TSLA,2021-07-06,685.44
228,TSLA,2021-07-07,671.04
229,TSLA,2021-07-08,662.15
230,TSLA,2021-07-09,663.38
231,TSLA,2021-07-12,685.8
232,TSLA,2021-07-13,671.87
233,TSLA,2021-07-14,674.74
234,TSLA,2021-07-15,658.1
235,TSLA,2021-07-16,648.44
236,TSLA,2021-07-19,671.01
237,TSLA,2021-07-20,685.3
238,TSLA,2021-07-21,684.48
239,TSLA,2021-07-22,658.7
240,TSLA,2021-07-23,645.32
241,TSLA,2021-07-26,661.44
242,TSLA,2021-07-27,649.57
243,TSLA,2021-07-28,652.19
244,TSLA,2021-07-29,685.8
245,TSLA,2021-07-30,695.2
246,TSLA,2021-08-02,717.41
247,TSLA,2021-08-03,725.54
248,TSLA,2021-08-04,727.55
249,TSLA,2021-08-05,714.7
250,TSLA,2021-08-06,720.5
